,period,year,month,total_rainfall,no_of_rainy_days,mean_temp,mean_sunshine_hrs,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,RSI(sales_value)
102,1993-07,1993,7,240.0,15,27.9,5.2,83.2,46.4,25.575134408602153,49.1
103,1993-08,1993,8,106.8,11,28.6,7.4,79.4,53.5,25.48951612903226,47.0
104,1993-09,1993,9,61.7,7,27.9,5.9,81.4,42.0,25.360694444444444,46.7
105,1993-10,1993,10,175.5,13,27.5,5.2,84.3,62.7,25.293548387096777,45.9
106,1993-11,1993,11,250.8,18,26.9,4.7,87.4,61.3,25.22861111111111,46.2
107,1993-12,1993,12,308.5,19,26.5,4.2,87.4,67.6,24.84018817204301,48.4
108,1994-01,1994,1,56.9,7,26.9,6.1,82.1,17.5,24.726478494623656,47.3
109,1994-02,1994,2,133.5,15,27.0,6.4,84.5,26.3,25.110119047619047,48.4
110,1994-03,1994,3,288.2,19,26.8,3.5,87.1,64.2,25.1875,60.5
111,1994-04,1994,4,154.0,15,27.9,5.8,84.8,46.3,25.630694444444444,40.9
112,1994-05,1994,5,169.6,16,28.1,5.0,84.8,45.1,25.79233870967742,43.8
113,1994-06,1994,6,184.7,14,28.1,6.0,83.5,61.1,25.545416666666668,43.2
114,1994-07,1994,7,53.8,6,28.4,7.6,78.9,17.0,25.484139784946237,47.0
115,1994-08,1994,8,45.1,12,28.1,6.5,80.0,15.5,25.31061827956989,44.8
116,1994-09,1994,9,23.7,6,28.3,3.8,78.7,11.3,25.346666666666664,45.8
117,1994-10,1994,10,84.7,11,27.9,4.5,81.5,35.4,25.249193548387098,45.4
118,1994-11,1994,11,322.2,21,26.7,4.5,88.4,178.3,25.46986111111111,47.0
119,1994-12,1994,12,425.4,18,26.9,5.3,85.5,133.8,25.146908602150535,46.3
120,1995-01,1995,1,349.4,21,26.8,5.0,86.2,108.3,25.110483870967744,46.2
121,1995-02,1995,2,334.0,16,26.5,4.9,87.5,159.3,25.236309523809524,46.4
122,1995-03,1995,3,67.7,10,27.6,5.9,83.9,31.1,25.57244623655914,48.4
123,1995-04,1995,4,242.3,16,27.9,5.6,85.3,73.6,25.77986111111111,47.4
124,1995-05,1995,5,84.4,11,28.5,6.0,83.7,32.8,26.05698924731183,48.3
125,1995-06,1995,6,63.7,12,28.9,6.6,81.9,45.0,25.765694444444442,46.9
126,1995-07,1995,7,173.6,13,28.0,5.2,82.6,52.3,25.488709677419354,46.7
127,1995-08,1995,8,211.6,21,27.4,4.1,85.6,37.9,25.60672043010753,48.8
128,1995-09,1995,9,29.5,7,28.3,5.8,81.6,5.7,25.568888888888885,49.2
129,1995-10,1995,10,101.1,12,27.8,4.7,82.8,37.1,25.421102150537635,49.0
130,1995-11,1995,11,372.8,20,27.0,3.7,86.8,198.6,25.24375,49.2
131,1995-12,1995,12,302.5,20,26.3,3.1,86.6,55.6,24.99744623655914,48.4
132,1996-01,1996,1,173.2,10,26.2,5.2,84.2,39.0,24.58454301075269,48.1
133,1996-02,1996,2,180.2,11,26.5,5.8,84.6,53.0,24.7139367816092,50.7
134,1996-03,1996,3,129.7,8,27.8,7.7,81.0,61.8,25.36922043010753,49.0
135,1996-04,1996,4,178.2,15,27.8,5.4,85.5,55.7,25.563194444444445,48.7
136,1996-05,1996,5,107.5,15,28.5,7.0,83.7,18.6,25.86733870967742,48.7
137,1996-06,1996,6,265.8,15,28.3,5.9,84.3,94.3,25.789166666666667,48.3
138,1996-07,1996,7,162.3,10,28.3,6.7,81.9,55.3,25.779704301075267,48.0
139,1996-08,1996,8,258.4,18,27.4,5.0,83.4,64.6,25.023118279569893,47.8
140,1996-09,1996,9,297.0,18,27.7,4.8,82.2,66.5,25.396805555555556,48.6
141,1996-10,1996,10,300.0,19,27.5,4.3,83.0,45.8,25.209408602150535,50.3
142,1996-11,1996,11,180.2,16,27.3,4.4,83.5,60.5,24.997222222222224,50.5
143,1996-12,1996,12,185.5,15,26.6,4.5,82.9,72.4,24.571370967741935,54.2
144,1997-01,1997,1,15.4,3,27.1,7.7,77.3,13.9,24.66478494623656,51.6
145,1997-02,1997,2,105.4,8,27.4,4.9,80.8,35.7,24.859375,47.1
146,1997-03,1997,3,34.3,10,28.1,7.0,79.6,17.4,25.455913978494625,48.5
147,1997-04,1997,4,118.4,12,28.1,5.6,82.7,44.6,25.694444444444443,49.6
148,1997-05,1997,5,41.6,6,29.3,6.7,77.7,35.6,25.847983870967745,49.5
149,1997-06,1997,6,78.9,12,29.3,7.3,76.7,25.0,25.750694444444445,50.0
150,1997-07,1997,7,18.6,9,28.8,6.5,76.5,5.4,25.6630376344086,52.6
151,1997-08,1997,8,86.6,9,28.8,5.7,78.2,61.4,25.52594086021505,49.8
152,1997-09,1997,9,31.1,3,28.8,3.2,77.0,24.3,25.45361111111111,50.6
153,1997-10,1997,10,78.4,8,28.2,3.2,81.0,36.5,25.47741935483871,48.7
154,1997-11,1997,11,158.3,13,27.8,5.4,82.8,53.6,25.290416666666665,46.8
155,1997-12,1997,12,351.9,23,27.3,5.3,85.3,65.8,25.29193548387097,46.6
156,1998-01,1998,1,268.8,13,28.0,7.4,83.2,79.7,25.804973118279573,47.0
157,1998-02,1998,2,32.5,5,28.9,8.9,78.3,11.9,26.06607142857143,47.9
158,1998-03,1998,3,58.8,7,29.5,7.6,77.8,20.9,26.203629032258064,39.0
159,1998-04,1998,4,187.7,13,29.2,6.7,81.8,64.9,26.443194444444444,52.6
160,1998-05,1998,5,370.8,18,29.4,5.9,82.3,83.7,26.62311827956989,46.8
161,1998-06,1998,6,198.8,15,28.6,5.3,82.1,42.8,25.874305555555555,46.0
162,1998-07,1998,7,259.2,18,28.1,5.1,81.8,55.8,25.608870967741936,46.8
163,1998-08,1998,8,195.0,18,27.5,4.6,85.4,35.5,25.530645161290323,45.2
164,1998-09,1998,9,258.2,17,27.9,4.5,84.1,52.0,25.68375,43.2
165,1998-10,1998,10,222.7,20,28.0,5.0,82.3,32.4,25.598118279569892,44.7
166,1998-11,1998,11,107.2,11,27.9,4.6,81.9,57.5,25.822916666666668,46.6
167,1998-12,1998,12,463.4,22,26.6,3.1,88.5,84.4,25.3747311827957,50.5
168,1999-01,1999,1,193.9,19,26.6,3.9,88.3,52.5,25.389112903225808,46.7
169,1999-02,1999,2,67.4,9,27.2,6.7,82.4,32.1,25.130505952380954,47.7
170,1999-03,1999,3,181.4,16,27.1,4.3,87.5,52.4,25.46693548387097,49.4
171,1999-04,1999,4,88.5,14,28.3,5.8,82.6,29.2,25.67875,50.9
172,1999-05,1999,5,157.1,13,28.0,5.7,84.4,42.8,25.673387096774192,52.1
173,1999-06,1999,6,103.4,13,28.2,6.0,81.9,34.5,25.45263888888889,55.2
174,1999-07,1999,7,225.4,11,27.8,6.8,82.7,51.4,25.504032258064516,52.7
175,1999-08,1999,8,204.0,13,27.5,5.7,84.1,42.4,25.264247311827955,58.1
176,1999-09,1999,9,125.9,13,27.9,6.5,81.7,41.5,25.398611111111112,59.7
177,1999-10,1999,10,205.0,20,27.2,4.7,84.6,32.8,25.11478494623656,59.4
178,1999-11,1999,11,241.5,19,27.3,4.7,84.4,39.0,25.185694444444444,57.9
179,1999-12,1999,12,340.5,17,26.8,4.1,85.3,76.9,24.9122311827957,58.2
